,1,2,1.1,1000,0,10
587,38,62.0,1.0,1000,,
588,38,380.0,1.0,1000,,
589,38,27.0,1.0,1000,,
590,38,127.0,1.0,1000,,
591,38,381.0,1.0,1000,,
592,38,382.0,1.0,1000,,
593,38,31.0,1.0,1000,,
594,39,128.0,1.0,1000,,
595,39,385.0,1.0,1000,,
596,39,386.0,1.0,1000,,
597,39,387.0,1.0,1000,,
598,39,384.0,1.0,1000,,
599,39,388.0,1.0,1000,,
600,39,132.0,1.0,1000,,
601,39,389.0,1.0,1000,,
602,39,8.0,1.0,1000,,
603,39,390.0,1.0,1000,,
604,39,258.0,1.0,1000,,
605,39,383.0,1.0,1000,,
606,39,27.0,1.0,1000,,
607,39,29.0,1.0,1000,,
608,39,31.0,1.0,1000,,
609,39,32.0,1.0,1000,,
610,39,36.0,1.0,1000,,
611,39,43.0,1.0,1000,,
612,39,181.0,1.0,1000,,
613,39,57.0,1.0,1000,,
614,39,62.0,1.0,1000,,
615,39,67.0,1.0,1000,,
616,39,233.0,1.0,1000,,
617,39,237.0,1.0,1000,,
618,39,379.0,1.0,1000,,
619,39,124.0,1.0,1000,,
620,39,254.0,1.0,1000,,
621,39,255.0,1.0,1000,,
622,40,128.0,1.0,1000,,
623,40,255.0,1.0,1000,,
624,40,391.0,1.0,1000,,
625,40,392.0,1.0,1000,,
626,40,393.0,1.0,1000,,
627,40,394.0,1.0,1000,,
628,40,395.0,1.0,1000,,
629,40,8.0,1.0,1000,,
630,40,396.0,1.0,1000,,
631,40,27.0,1.0,1000,,
632,40,30.0,1.0,1000,,
633,40,31.0,1.0,1000,,
634,40,33.0,1.0,1000,,
635,40,41.0,1.0,1000,,
636,40,42.0,1.0,1000,,
637,40,43.0,1.0,1000,,
638,40,62.0,1.0,1000,,
639,40,67.0,1.0,1000,,
640,40,78.0,1.0,1000,,
641,40,116.0,1.0,1000,,
642,40,254.0,1.0,1000,,
643,40,124.0,1.0,1000,,
644,40,126.0,1.0,1000,,
645,40,127.0,1.0,1000,,
646,42,43.0,1.0,1000,,
647,42,397.0,1.0,1000,,
648,42,398.0,1.0,1000,,
649,42,399.0,1.0,1000,,
650,42,400.0,1.0,1000,,
651,42,375.0,1.0,1000,,
652,42,27.0,1.0,1000,,
653,42,60.0,1.0,1000,,
654,42,62.0,1.0,1000,,
655,43,5.0,1.0,1000,,
656,43,8.0,1.0,1000,,
657,43,16.0,1.0,1000,,
658,43,401.0,1.0,1000,,
659,43,402.0,1.0,1000,,
660,43,403.0,1.0,1000,,
661,43,404.0,1.0,1000,,
662,43,405.0,1.0,1000,,
663,43,406.0,1.0,1000,,
664,43,407.0,1.0,1000,,
665,43,408.0,1.0,1000,,
666,43,409.0,1.0,1000,,
667,43,410.0,1.0,1000,,
668,43,25.0,1.0,1000,,
669,43,154.0,1.0,1000,,
670,43,27.0,1.0,1000,,
671,43,157.0,1.0,1000,,
672,43,288.0,1.0,1000,,
673,43,47.0,1.0,1000,,
674,43,189.0,1.0,1000,,
675,43,195.0,1.0,1000,,
676,43,198.0,1.0,1000,,
677,43,202.0,1.0,1000,,
678,43,362.0,1.0,1000,,
679,44,328.0,1.0,1000,,
680,44,394.0,1.0,1000,,
681,44,43.0,1.0,1000,,
682,44,411.0,1.0,1000,,
683,44,27.0,1.0,1000,,
684,44,412.0,1.0,1000,,
685,44,413.0,1.0,1000,,
686,44,62.0,1.0,1000,,
687,45,416.0,1.0,1000,,
688,45,417.0,1.0,1000,,
689,45,418.0,1.0,1000,,
690,45,419.0,1.0,1000,,
691,45,420.0,1.0,1000,,
692,45,359.0,1.0,1000,,
693,45,360.0,1.0,1000,,
694,45,361.0,1.0,1000,,
695,45,415.0,1.0,1000,,
696,45,155.0,1.0,1000,,
697,45,46.0,1.0,1000,,
698,45,14.0,1.0,1000,,
699,45,24.0,1.0,1000,,
700,45,89.0,1.0,1000,,
701,45,27.0,1.0,1000,,
702,45,414.0,1.0,1000,,
703,45,95.0,1.0,1000,,
704,46,25.0,1.0,1000,,
705,46,155.0,1.0,1000,,
706,46,27.0,1.0,1000,,
707,46,164.0,1.0,1000,,
708,46,421.0,1.0,1000,,
709,46,422.0,1.0,1000,,
710,46,423.0,1.0,1000,,
711,46,424.0,1.0,1000,,
712,46,425.0,1.0,1000,,
713,46,426.0,1.0,1000,,
714,46,427.0,1.0,1000,,
715,46,428.0,1.0,1000,,
716,46,429.0,1.0,1000,,
717,46,430.0,1.0,1000,,
718,46,431.0,1.0,1000,,
719,46,432.0,1.0,1000,,
