,0,0.1,1,1000,24,1.1
477,26.0,132.0,1,1000,,
478,26.0,325.0,1,1000,,
479,26.0,326.0,1,1000,,
480,26.0,327.0,1,1000,,
481,26.0,8.0,1,1000,,
482,26.0,41.0,1,1000,,
483,26.0,42.0,1,1000,,
484,26.0,43.0,1,1000,,
485,26.0,328.0,1,1000,,
486,26.0,237.0,1,1000,,
487,26.0,57.0,1,1000,,
488,26.0,27.0,1,1000,,
489,26.0,62.0,1,1000,,
490,26.0,31.0,1,1000,,
491,27.0,329.0,1,1000,,
492,27.0,330.0,1,1000,,
493,27.0,331.0,1,1000,,
494,27.0,332.0,1,1000,,
495,27.0,43.0,1,1000,,
496,27.0,333.0,1,1000,,
497,27.0,16.0,1,1000,,
498,27.0,181.0,1,1000,,
499,27.0,27.0,1,1000,,
500,27.0,124.0,1,1000,,
501,28.0,129.0,1,1000,,
502,28.0,67.0,1,1000,,
503,28.0,228.0,1,1000,,
504,28.0,58.0,1,1000,,
505,28.0,134.0,1,1000,,
506,28.0,43.0,1,1000,,
507,28.0,334.0,1,1000,,
508,28.0,335.0,1,1000,,
509,28.0,336.0,1,1000,,
510,28.0,283.0,1,1000,,
511,28.0,282.0,1,1000,,
512,28.0,27.0,1,1000,,
513,28.0,60.0,1,1000,,
514,28.0,61.0,1,1000,,
515,28.0,62.0,1,1000,,
516,29.0,129.0,1,1000,,
517,29.0,134.0,1,1000,,
518,29.0,272.0,1,1000,,
519,29.0,282.0,1,1000,,
520,29.0,27.0,1,1000,,
521,29.0,283.0,1,1000,,
522,29.0,42.0,1,1000,,
523,29.0,43.0,1,1000,,
524,29.0,58.0,1,1000,,
525,29.0,60.0,1,1000,,
526,29.0,61.0,1,1000,,
527,29.0,62.0,1,1000,,
528,29.0,67.0,1,1000,,
529,29.0,334.0,1,1000,,
530,29.0,335.0,1,1000,,
531,29.0,336.0,1,1000,,
532,29.0,337.0,1,1000,,
533,29.0,338.0,1,1000,,
534,29.0,339.0,1,1000,,
535,29.0,340.0,1,1000,,
536,29.0,228.0,1,1000,,
537,30.0,64.0,1,1000,,
538,30.0,67.0,1,1000,,
539,30.0,70.0,1,1000,,
540,30.0,72.0,1,1000,,
541,30.0,41.0,1,1000,,
542,30.0,73.0,1,1000,,
543,30.0,43.0,1,1000,,
544,30.0,341.0,1,1000,,
545,30.0,59.0,1,1000,,
546,30.0,62.0,1,1000,,
547,31.0,32.0,1,1000,,
548,31.0,35.0,1,1000,,
549,31.0,132.0,1,1000,,
550,31.0,41.0,1,1000,,
551,31.0,31.0,1,1000,,
552,31.0,78.0,1,1000,,
553,31.0,116.0,1,1000,,
554,31.0,181.0,1,1000,,
555,31.0,342.0,1,1000,,
556,31.0,62.0,1,1000,,
557,31.0,57.0,1,1000,,
558,31.0,27.0,1,1000,,
559,31.0,124.0,1,1000,,
560,31.0,126.0,1,1000,,
561,31.0,127.0,1,1000,,
562,32.0,226.0,1,1000,,
563,32.0,233.0,1,1000,,
564,32.0,42.0,1,1000,,
565,32.0,43.0,1,1000,,
566,32.0,41.0,1,1000,,
567,32.0,181.0,1,1000,,
568,32.0,343.0,1,1000,,
569,32.0,124.0,1,1000,,
570,32.0,29.0,1,1000,,
571,32.0,31.0,1,1000,,
572,33.0,130.0,1,1000,,
573,33.0,67.0,1,1000,,
574,33.0,132.0,1,1000,,
575,33.0,41.0,1,1000,,
576,33.0,42.0,1,1000,,
577,33.0,43.0,1,1000,,
578,33.0,237.0,1,1000,,
579,33.0,31.0,1,1000,,
580,33.0,116.0,1,1000,,
581,33.0,181.0,1,1000,,
582,33.0,344.0,1,1000,,
583,33.0,345.0,1,1000,,
584,33.0,346.0,1,1000,,
585,33.0,27.0,1,1000,,
586,33.0,124.0,1,1000,,
587,33.0,126.0,1,1000,,
588,33.0,127.0,1,1000,,
589,34.0,2.0,1,1000,,
590,34.0,5.0,1,1000,,
591,34.0,263.0,1,1000,,
592,34.0,141.0,1,1000,,
593,34.0,25.0,1,1000,,
594,34.0,27.0,1,1000,,
595,34.0,177.0,1,1000,,
596,34.0,196.0,1,1000,,
597,34.0,198.0,1,1000,,
598,34.0,347.0,1,1000,,
599,34.0,348.0,1,1000,,
600,34.0,92.0,1,1000,,
601,34.0,349.0,1,1000,,
602,34.0,350.0,1,1000,,
603,34.0,352.0,1,1000,,
604,34.0,353.0,1,1000,,
605,34.0,354.0,1,1000,,
606,34.0,355.0,1,1000,,
607,34.0,351.0,1,1000,,
608,34.0,356.0,1,1000,,
609,34.0,357.0,1,1000,,
610,34.0,358.0,1,1000,,
611,34.0,359.0,1,1000,,
612,34.0,360.0,1,1000,,
613,34.0,361.0,1,1000,,
614,34.0,362.0,1,1000,,
615,34.0,363.0,1,1000,,
616,34.0,364.0,1,1000,,
617,34.0,365.0,1,1000,,
618,34.0,366.0,1,1000,,
619,34.0,367.0,1,1000,,
620,35.0,164.0,1,1000,,
621,35.0,142.0,1,1000,,
622,35.0,368.0,1,1000,,
623,35.0,369.0,1,1000,,
624,35.0,370.0,1,1000,,
625,35.0,23.0,1,1000,,
626,35.0,25.0,1,1000,,
627,35.0,27.0,1,1000,,
628,36.0,45.0,1,1000,,
629,36.0,46.0,1,1000,,
630,36.0,14.0,1,1000,,
631,36.0,368.0,1,1000,,
632,36.0,369.0,1,1000,,
633,36.0,371.0,1,1000,,
634,36.0,372.0,1,1000,,
635,36.0,373.0,1,1000,,
636,36.0,374.0,1,1000,,
637,36.0,25.0,1,1000,,
638,37.0,90.0,1,1000,,
639,37.0,199.0,1,1000,,
640,37.0,8.0,1,1000,,
641,37.0,269.0,1,1000,,
642,37.0,375.0,1,1000,,
643,37.0,376.0,1,1000,,
644,37.0,377.0,1,1000,,
645,37.0,378.0,1,1000,,
646,37.0,27.0,1,1000,,
647,38.0,33.0,1,1000,,
648,38.0,67.0,1,1000,,
649,38.0,132.0,1,1000,,
650,38.0,255.0,1,1000,,
651,38.0,42.0,1,1000,,
652,38.0,43.0,1,1000,,
653,38.0,237.0,1,1000,,
654,38.0,379.0,1,1000,,
655,38.0,30.0,1,1000,,
656,38.0,254.0,1,1000,,
